authorName,hIndex
Krishna Palaniappan,1
Ken Chu,1
Edward Kirton,1
J. White,1
Manoj Pillay,1
Rekha Seshadri,1
Jinsong Wang,1
Yang Zou,1
B. V. Vijaya Kumar,1
Zhiding Yu,1
W. Woo,1
Xingjian Shi,1
Hao Wang,1
D. Yeung,1
Zhourong Chen,1
W. Wong,1
N. Nathani,1
Abhishek Singh,1
Patrick J. Coles,1
Guillaume Verdon,1
L. Cincio,1
M. Cerezo,1
D. Lembo,1
R. Rosati,1
Antonella Poggi,1
M. Lenzerini,1
Giuseppe De Giacomo,1
R. Wagner,1
A. Roncato,1
C. Renso,1
R. Trasarti,1
J. Macêdo,1
Alessandra Raffaetà,1
Roman Eisner,1
Faizath Yallou,1
Philip Liu,1
I. Sinelnikov,1
Farid Aziat,1
Edison Dong,1
Timothy Jewison,1
J. Xia,1
Felicity Allen,1
Souhaila Bouatra,1
R. Greiner,1
T. Bjorndahl,1
R. Perez-Pineiro,1
Yannick Djoumbou,1
Daniel Arribas-Bel,1
A. Singleton,1
D. Thakker,1
F. Yang-Turner,1
V. Dimitrova,1
L. Lau,1
Dimoklis Despotakis,1
C. Groom,1
I. Bruno,1
S. Ward,1
M. Lightfoot,1
Avinash Inuganti,1
Şule Yılmaz,1
Enrique Pérez,1
Timo Sachsenberg,1
J. Pfeuffer,1
J. Uszkoreit,1
J. Cox,1
Andrew F. Jarnuczak,1
Shivani Tiwary,1
E. Audain,1
Manuel Bernal Llinares,1
J. Kiros,1
David J. Fleet,1
Fartash Faghri,1
Avrim Blum,1
J. Hopcroft,1
R. Kannan,1
Whitney Newey,1
E. Duflo,1
J. Robins,1
D. Chetverikov,1
Christian Hansen,1
Mert Demirer,1
V. Chernozhukov,1
Sheridan Martini,1
Swapnil Mahajan,1
James A. Overton,1
Bjoern Peters,1
D. Wheeler,1
Sandeep Kumar Dhanda,1
Jason R. Cantrell,1
R. Vita,1
A. Sette,1
J. Saltz,1
Neil I. Dewar,1
François Modave,1
T. George,1
E. Shenkman,1
Qian Li,1
Yi Guo,1
Hansi Zhang,1
J. Bian,1
Emily Clough,1
Daniel Coelho de Castro,1
K. Kamnitsas,1
B. Glocker,1
Q. Dou,1
Cherkeng Heng,1
Kyle W. Karhohs,1
Marzieh Haghighi,1
B. Cimini,1
C. McQuin,1
M. Rohban,1
Juan C. Caicedo,1
Jeanelle Ackerman,1
Anne E Carpenter,1
Tim Becker,1
Shantanu Singh,1
A. Goodman,1
M. Doan,1
Bin Yang,1
A. Nandi,1
Feng Jia,1
Naipeng Li,1
Y. Lei,1
Xinwei Jiang,1
E. M. Pereira,1
Jaime S. Cardoso,1
D. V. Carvalho,1
Hill Dp,1
E. Dimmer,1
Wood,1
R. Apweiler,1
M. Gwinn,1
G. Rubin,1
L. Hannick,1
E. Camon,1
M. Dolan,1
R. L. Chisholm,1
Jennifer I. Clark,1
M. Berriman,1
A. Ireland,1
J. Lomax,1
Lee,1
H. Drabkin,1
J. Blake,1
J. Eppig,1
Gerald M. Rubin,1
C. Bult,1
M. Ringwald,1
D. Barrell,1
M. Harris,1
J. Wortman,1
L. Ni,1
Shangguan Wei,1
E. Ribeiro,1
N. Batjes,1
Marvin N. Wright,1
G. Heuvelink,1
B. Kempen,1
Ichsani Wheeler,1
R. Vargas,1
B. Bauer-Marschallinger,1
M. Kilibarda,1
Jorge Mendes de Jesus,1
X. Geng,1
Aleksandar Blagotić,1
M. Guevara,1
Maria Ruiperez González,1
T. Hengl,1
S. Mantel,1
J. Leenaars,1
R. MacMillan,1
Robin Jia,1
Percy Liang,1
Athira M. Nambiar,1
Divyansh Mundra,1
G. F. Siddiqui,1
Umar Aftab,1
W. Budiharto,1
Li Yang,1
A. Shami,1
Daniel L. Oberski,1
D. Zumstein,1
Daniel Fasel,1
Trevor Darrell,1
Jeff Donahue,1
J. Malik,1
Ross B. Girshick,1
A. Galstyan,1
N. Saxena,1
Ninareh Mehrabi,1
Kristina Lerman,1
Fred Morstatter,1
Yassine Ouali,1
Myriam Tami,1
C. Hudelot,1
Kyle Cranmer,1
I. Cirac,1
Leslie Vogt-Maranto,1
Lenka Zdeborov'a,1
Giuseppe Carleo,1
L. Daudet,1
Naftali Tishby,1
Zeynep Engin,1
P. Treleaven,1
M. E. Merouani,1
El AminAouladAbdelouarit,1
Abdelatif Medouri,1
C. G. Schütz,1
Simon Schausberger,1
Wenguan Wang,1
Tianfei Zhou,1
F. Yu,1
Jifeng Dai,1
E. Konukoglu,1
M. Hanwell,1
G. Hutchison,1
D. Curtis,1
David C. Lonie,1
T. Vandermeersch,1
E. Zurek,1
Maria-Esther Vidal,1
D. Collarana,1
Mikhail Galkin,1
I. Ribón,1
S. Auer,1
C. Lange,1
W. Gruissem,1
Matthias Hirsch-Hoffmann,1
Philip Zimmermann,1
L. Hennig,1
M. Giese,1
A. Waaler,1
Simen Heggestøyl,1
Guillermo Vega-Gorgojo,1
Rudra Pratap Deb Nath,1
A. Schäffer,1
S. Altschul,1
D. Lipman,1
Zheng Zhang,1
Jinghui Zhang,1
W. Miller,1
F. Reisinger,1
Qing-Wei Xu,1
N. del-Toro,1
Ilias Lavidas,1
H. Hermjakob,1
José A. Dianes,1
Rui Wang,1
Xue Xu,1
Yan Li,1
Yonghua Wang,1
Ling Yang,1
Peng Li,1
Jinlong Ru,1
W. Zhou,1
Zihu Guo,1
Bohui Li,1
Chao Huang,1
Yinfeng Yang,1
Pidong Li,1
W. Tao,1
Jinan Wang,1
Alexandre Passos,1
B. Thirion,1
Ron Weiss,1
E. Duchesnay,1
P. Prettenhofer,1
J. Vanderplas,1
Gilles Louppe,1
O. Grisel,1
Alexandre Gramfort,1
V. Michel,1
Fabian Pedregosa,1
G. Varoquaux,1
Mathieu Blondel,1
Ron J. Weiss,1
D. Cournapeau,1
M. Perrot,1
M. Brucher,1
J. Rhee,1
Chao Wu,1
Dongyan Xu,1
X. Zhang,1
Zhiqiang Lin,1
D. Rhodes,1
T. Barrette,1
A. Pandey,1
D. Ghosh,1
K. Shanker,1
Radhika Varambally,1
A. Chinnaiyan,1
Jianjun Yu,1
Nandan P. Deshpande,1
Alexander G. Gray,1
Y. Tausczik,1
Horst Samulowitz,1
P. Ram,1
Werner Geyer,1
Li-wei H. Lehman,1
T. Pollard,1
M. Feng,1
M. Ghassemi,1
Alistair E. W. Johnson,1
Benjamin Moody,1
Lu Shen,1
R. Mark,1
L. Celi,1
Peter Szolovits,1
R. Randriatoamanana,1
Harco Leslie Hendric Spits Wamars,1
Elodie Drula,1
H. G. Ramulu,1
Xiaoyang Wang,1
Yang Liu,1
Songze Li,1
Jinhyun So,1
Chaoyang He,1
R. Raskar,1
Han Qiu,1
Yan Kang,1
M. Annavaram,1
Praneeth Vepakomma,1
P. Zhao,1
S. Avestimehr,1
Hongyi Wang,1
Li Shen,1
Mi Zhang,1
H. Neven,1
M. Mohseni,1
R. Babbush,1
M. Broughton,1
J. McClean,1
S. Boixo,1
I. Brilakis,1
Ozan Sener,1
Martin Fischer,1
Helen Jiang,1
Senthilkumar Mohan,1
Gautam Srivastava,1
Chandrasegar Thirumalai,1
Fabian Ruehle,1
Dhruba Borthakur,1
K. V. Rashmi,1
K. Ramchandran,1
Hairong Kuang,1
Nihar B. Shah,1
Dikang Gu,1
M. S. Aliakbarian,1
L. Petersson,1
M. Salzmann,1
F. Saleh,1
P. D. Causmaecker,1
Felix Mödritscher,1
Elyor Kodirov,1
T. Xiang,1
S. Gong,1
W. Joseph,1
L. Martens,1
D. Plets,1
Jens Trogh,1
Opim Salim Sitompul,1
Mahyuddin K M Nasution,1
Erna Budhiarti Nababan,1
J. J. Harrison,1
J. Hartmann,1
K. Sung,1
D. Chris Benner,1
C. Hill,1
G. Li,1
V. Perevalov,1
R. Le Roy,1
Nabila Berkani,1
Ladjel Bellatreche,1
Selma Khouri,1
John P. Dickerson,1
Keegan E. Hines,1
Sahil Verma,1
Patrick Zschech,1
Christian Janiesch,1
K. Heinrich,1
M. Othman,1
N. Dengen,1
O. Ba-Rukab,1
Arda Yunianta,1
N. Yusof,1
H. Haviluddin,1
Sungbok Lee,1
M. Bulut,1
E. Provost,1
Samuel Kim,1
Chi-Chun Lee,1
Ebrahim (Abe) Kazemzadeh,1
Jeannette N. Chang,1
Shrikanth S. Narayanan,1
C. Busso,1
Ania Cravero Leal,1
J. Trujillo,1
J. Mazón,1
R. R. Silva,1
Chase Williamson,1
Max von Hippel,1
Ii Michael S Robeson,1
J. J. Hooft,1
Annika Reinke,1
S. Speidel,1
T. Adler,1
M. Apitz,1
S. Seidlitz,1
Peter M. Full,1
Tornike Davitashvili,1
J. Gröhl,1
Melanie Schellenberg,1
Patrick Scholz,1
T. Ross,1
H. Kenngott,1
M. Tizabi,1
M. Wagner,1
D. Filimon,1
Hellena Hempe,1
A. Kisilenko,1
Benjamin Müller,1
T. Y. E. Lai,1
Veith Roethlingshoefer,1
M. Mengler,1
Sebastian Bittel,1
B. Müller-Stich,1
T. Tran,1
Matthias Eisenmann,1
Fabian Both,1
Manuela Capek,1
L. Maier-Hein,1
S. Bodenstedt,1
Pierangela Bruno,1
R. Vázquez-Fresno,1
Sandeep Singhal,1
N. Karu,1
Arnau Serra-Cayuela,1
Hasan Badran,1
C. Manach,1
Yongjie Liang,1
Kevin Y. H. Liang,1
M. Berjanskii,1
Feiyue Huang,1
Yanhao Ge,1
Changxin Gao,1
Xinya Chen,1
Xuan Cao,1
Chengjie Wang,1
N. Sang,1
Yanrui Bin,1
Ying Tai,1
Jilin Li,1
