authorName,hIndex
Mark Raasveldt,1
H. Mühleisen,1
S. Funk,1
P. Moraga,1
L. Kaiser,1
C. Roberts,1
R. Ratnayake,1
K. Durski,1
J. Whitworth,1
P. Keating,1
W. Edmunds,1
O. Morgan,1
M. Marks,1
Zhian N. Kamvar,1
A. Cori,1
A. Baidjoe,1
R. Eggo,1
R. Wagner,1
A. Roncato,1
R. Trasarti,1
C. Renso,1
Alessandra Raffaetà,1
J. Macêdo,1
Rajni Jindal,1
Shweta Taneja,1
Shruti Jadon,1
Felix Mödritscher,1
P. D. Causmaecker,1
Mégane Bouchard,1
Sihan Liu,1
Alexandra Florescu,1
Sally Y Min,1
F. Maguire,1
Hiu-Ki Tran,1
Jalees A. Nasir,1
R. Beiko,1
G. Domselaar,1
E. Bordeleau,1
Haley L. Zubyk,1
Damion M. Dooley,1
Annie A. Cheng,1
Anastasia Hernández-Koutoucheva,1
Bhavya Singh,1
E. Griffiths,1
Martins Oloni,1
Arman Edalatmand,1
M. Faltyn,1
W. Hsiao,1
D. Speicher,1
Anna-Lisa V. Nguyen,1
G. Winsor,1
A. Miroshnichenko,1
R. Werfalli,1
W. Huynh,1
Tammy T. Y. Lau,1
J. Saltz,1
Neil I. Dewar,1
D. Broadhurst,1
L. Pritchard,1
S. Reinke,1
Kevin M. Mendez,1
B. Daniel,1
V. Robu,1
D. Flynn,1
Michael G. Pecht,1
Saurabh Saxena,1
D. Roman,1
K. Svidt,1
P. Pauwels,1
Ekaterina Petrova,1
R. L. Jensen,1
C. Lange,1
Mikhail Galkin,1
Maria-Esther Vidal,1
S. Auer,1
D. Collarana,1
I. Ribón,1
S. Biffl,1
Richard Mordinyi,1
Estefanía Serral,1
D. Winkler,1
O. Kovalenko,1
R. Arroyo,1
L. Bergasa,1
Eduardo Romera,1
Yīmíng Bào,1
Michael DiCuccio,1
S. Pujar,1
Lillian D. Riddick,1
Hanzhen Sun,1
R. E. Tully,1
Tripti Gupta,1
O. Blinkova,1
Wenjun Li,1
Azat Badretdin,1
Richard McVeigh,1
David Webb,1
Susan S. Storz,1
Wendy Wu,1
S. Ciufo,1
B. Robbertse,1
Patrick Masterson,1
Daniel Rausch,1
Diana Haddad,1
V. Brover,1
Craig Wallin,1
Jinna Choi,1
Michael R. Murphy,1
Tamara Goldfarb,1
Andrei Shkeda,1
I. Tolstoy,1
Eneida L. Hatcher,1
Mathew W. Wright,1
Vamsi K Kodali,1
B. Rajput,1
Alex Astashyn,1
C. Farrell,1
O. Ermolaeva,1
Danso Ako-Adjei,1
K. O'Neill,1
B. Smith-White,1
Eric Cox,1
A. Vatsan,1
V. Joardar,1
V. Chetvernin,1
John G. Tate,1
Alex Bateman,1
O. L. Gavin,1
Penny C. Coggill,1
Sean R. Eddy,1
Liisa Holm,1
A. Heger,1
Joanne E. Pollington,1
Erik L. L. Sonnhammer,1
Robert D. Finn,1
Prasad Gunasekaran,1
Kristoffer Forslund,1
R. Elmasri,1
S. Navathe,1
D. Benner,1
Christian Hill,1
J. Hartmann,1
V. Perevalov,1
Gang Li,1
J. Harrison,1
K. Sung,1
R. J. Roy,1
Elena Cibrián-Uhalte,1
M. Nowotka,1
David Mendez,1
Ines Smit,1
Anneli Karlsson,1
Francis Atkinson,1
María P. Magariños,1
G. Papadatos,1
Prudence Mutowo-Meullenet,1
Nathan Dedman,1
A. Leach,1
John M. Artz,1
W. Wong,1
Xingjian Shi,1
W. Woo,1
Zhourong Chen,1
D. Yeung,1
Hao Wang,1
Z. B. Celik,1
S. Jha,1
Nicolas Papernot,1
A. Swami,1
P. Mcdaniel,1
Chaitanya Ahuja,1
T. Baltrušaitis,1
Louis-Philippe Morency,1
Amirata Ghorbani,1
James Y. Zou,1
Jaehoon Choi,1
Taekyung Kim,1
Changick Kim,1
Darrell Laham,1
P. Foltz,1
U. California,1
Department of Mathematical Sciences,1
Patricia Prüfer,1
J. Prüfer,1
Anosh Fatima,1
Muhammad Gufran Khan,1
Nosheen Nazir,1
Rafal Kern,1
Catherine Blake,1
Hongming Zhou,1
Rui Zhang,1
Xiaojian Ding,1
G. Huang,1
Richard Shin,1
Sam Thomson,1
Emmanouil Antonios Platanios,1
J. Eisner,1
Benjamin Van Durme,1
C. H. Lin,1
Subhro Roy,1
Charles C. Chen,1
Adam Pauls,1
D. Klein,1
K. Sirotkin,1
Elizabeth M. Smigielski,1
Michael Kholodov,1
J. Baker,1
C. Fellbaum,1
R. Beckwith,1
Derek Gross,1
K. Miller,1
B. Shoichet,1
J. Irwin,1
Yannick Djoumbou,1
Farid Aziat,1
J. Xia,1
Felicity Allen,1
Edison Dong,1
R. Greiner,1
R. Perez-Pineiro,1
T. Bjorndahl,1
Souhaila Bouatra,1
Faizath Yallou,1
Timothy Jewison,1
Philip Liu,1
Roman Eisner,1
I. Sinelnikov,1
R. Irizarry,1
C. M. Bishop,1
Jianlong Yuan,1
Yifan Liu,1
Chunhua Shen,1
Zhibin Wang,1
O. Papaspiliopoulos,1
J. J. Hooft,1
Ii Michael S Robeson,1
R. R. Silva,1
Max von Hippel,1
Chase Williamson,1
C.K.M. Lee,1
W. Ho,1
K. Ng,1
K.L. Choy,1
Y. Lv,1
M. Martellini,1
Stanislav Abaimov,1
Vasilis Papastefanopoulos,1
Pantelis Linardatos,1
Wen Li,1
Yuhua Chen,1
Xiaoran Chen,1
Yang Zou,1
Jinsong Wang,1
B. V. Vijaya Kumar,1
Zhiding Yu,1
Q. Dou,1
Daniel Coelho de Castro,1
B. Glocker,1
K. Kamnitsas,1
A. Smart,1
Aurélien Luciani,1
L. Hirsh,1
Sara El-Gebali,1
Damiano Piovesan,1
M. Assante,1
F. Giannotti,1
P. Manghi,1
D. Pedreschi,1
Valerio Grossi,1
P. Pagano,1
K. Devi,1
T. Kumar,1
Elzbieta Malinowski,1
S. Salzberg,1
Alberto Maria Segre,1
Trevor Darrell,1
J. Malik,1
Ross B. Girshick,1
Jeff Donahue,1
Àgata Lapedriza,1
Bolei Zhou,1
C. Williams,1
Padhraic Smyth,1
Tijl De Bie,1
J. Hernández-Orallo,1
H. Hoos,1
Luc de Raedt,1
L. Taylor,1
Nadezhda Purtova,1
Yunkai Liu,1
Theresa M. Vitolo,1
Nihar B. Shah,1
Dhruba Borthakur,1
K. Ramchandran,1
K. V. Rashmi,1
Hairong Kuang,1
Dikang Gu,1
Jinhyun So,1
Li Shen,1
Mi Zhang,1
P. Zhao,1
Xiaoyang Wang,1
Songze Li,1
Yan Kang,1
M. Annavaram,1
Han Qiu,1
R. Raskar,1
Praneeth Vepakomma,1
S. Avestimehr,1
Chaoyang He,1
Abhishek Singh,1
Hongyi Wang,1
Tim Mueller,1
S. Curtarolo,1
G. Hart,1
C. Toher,1
D. Dou,1
Haishan Liu,1
Robin Jia,1
Percy Liang,1
A. Baklanov,1
F. Creutzig,1
R. Dawson,1
X. Bai,1
S. Lohrey,1
J. Minx,1
Esteban Muñoz,1
S. Dhakal,1
Brenna Walsh,1
T. McPhearson,1
W. Lamb,1
Ashish Thusoo,1
H. Liu,1
Joydeep Sen Sarma,1
Ning Zhang,1
R. Murthy,1
Suresh Anthony,1
Prasad Chakka,1
Munawar,1
R. Ibrahim,1
N. Salim,1
D. Zumstein,1
Daniel Fasel,1
Xiaokang Chen,1
Jingdong Wang,1
Yuhui Yuan,1
Gang Zeng,1
Javier D. Fernández,1
Miguel A. Martínez-Prieto,1
C. E. Cuesta,1
A. Vasilakos,1
Fengxiao Huang,1
Zhangjie Fu,1
Ching-Nung Yang,1
Xingming Sun,1
Hueihan Jhuang,1
Thomas Serre,1
Hilde Kuehne,1
T. Poggio,1
Estíbaliz Garrote,1
M. Lescot,1
P. Déhais,1
G. Thijs,1
K. Marchal,1
S. Rombauts,1
Y. Peer,1
P. Rouzé,1
Amy X. Zhang,1
J. Pei,1
C. Baker,1
Rebecca E. Gasper,1
Aimee Schwab-McCoy,1
R. Spang,1
D. Stekhoven,1
A. Schuppert,1
R. Balling,1
B. Zupan,1
H. Fröhlich,1
H. Röst,1
O. Kohlbacher,1
M. Rebhan,1
M. Schwab,1
Jimeng Sun,1
A. Weber,1
Thomas Lengauer,1
T. Przytycka,1
S. Murphy,1
M. Maathuis,1
Santosh Kumar,1
D. Ziemek,1
J. Richardson,1
S. Neuhauser,1
M. O’Keefe,1
H. Motenko,1
Yitong Xia,1
Arpit Jain,1
R. Chellappa,1
Ser-Nam Lim,1
S. Sankaranarayanan,1
Y. Balaji,1
Weirong Li,1
Kai Sun,1
Zhiwei Hou,1
Dongxu Wang,1
Jia Song,1
Peng Pan,1
Yunqiang Zhu,1
Yeseul Kim,1
Sung-min Ha,1
Soonjae Kwon,1
Jeongmin Lim,1
Hyung-Ho Seo,1
Gary L. Andersen,1
Keith Keller,1
Neils Larsen,1
Ping Hu,1
Mark Rojas,1
Daniel Dalevi,1
Thomas Huber,1
J. J. Harrison,1
D. Chris Benner,1
C. Hill,1
G. Li,1
R. Le Roy,1
D. Donoho,1
Athira M. Nambiar,1
Divyansh Mundra,1
M. E. Merouani,1
Abdelatif Medouri,1
El AminAouladAbdelouarit,1
Stefan Berger,1
Been Kim,1
F. Doshi-Velez,1
John P. Dickerson,1
Sahil Verma,1
Keegan E. Hines,1
Konstantinos G. Liakos,1
D. Bochtis,1
S. Pearson,1
D. Moshou,1
P. Busato,1
G. Moody,1
R. Mark,1
E. Silva,1
Hossein Hassani,1
S. Raschka,1
Corey J. Nolet,1
Joshua Patterson,1
Alexandre Ribas Semeler,1
Helen Beatriz Frota Rozados,1
A. L. Pinto,1
Sonia Ordoñez Salinas,1
Alba Consuelo Nieto Lemus,1
M. Olschimke,1
Youssef Bassil,1
Gilles Louppe,1
P. Prettenhofer,1
E. Duchesnay,1
M. Brucher,1
Ron Weiss,1
Alexandre Gramfort,1
Mathieu Blondel,1
Ron J. Weiss,1
J. Vanderplas,1
B. Thirion,1
V. Michel,1
Alexandre Passos,1
G. Varoquaux,1
O. Grisel,1
D. Cournapeau,1
